node_id_org,node_id_dest,distance,highway,oneway,bridge,tunnel
2303738224,3722883352,60.501629,tertiary,yes,None,None
3722883352,4318818145,117.405920,tertiary,yes,None,None
4318818145,288672634,111.423399,tertiary,yes,None,None
288672634,4318817785,5.256116,tertiary,yes,None,None
4318817785,3722883154,10.730676,tertiary,yes,None,None
3722883154,3722883149,10.162810,tertiary,yes,None,None
3722883149,4318817740,10.119891,tertiary,yes,None,None
4318817740,3722883139,7.215053,tertiary,yes,None,None
3722883139,3722883125,96.198921,tertiary,yes,None,None
3722883125,3722879121,29.835906,tertiary,yes,None,None
1666878475,2303738273,13.044923,tertiary,yes,None,None
2303738273,2303738288,145.252809,tertiary,yes,None,None
2303738288,3722883789,265.316492,tertiary,yes,None,None
3722883789,3722883791,17.316184,tertiary,yes,None,None
3722883791,2303738323,257.277597,tertiary,yes,None,None
2303738323,2303738325,9.502880,tertiary,yes,None,None
2303738325,2303738328,18.455131,tertiary,yes,None,None
2303738328,2303738330,8.062472,tertiary,yes,None,None
2303738330,2303738334,11.186612,tertiary,yes,None,None
2303738334,3722883796,13.132990,tertiary,yes,None,None
3722883796,2303738336,10.505844,tertiary,yes,None,None
2303738336,2303738332,12.698557,tertiary,yes,None,None
2303738332,2303738329,10.024804,tertiary,yes,None,None
2303738329,2303738327,10.413373,tertiary,yes,None,None
2303738327,2303738326,13.478983,tertiary,yes,None,None
2303738326,2303738324,9.595651,tertiary,yes,None,None
2303738324,3731206103,33.171014,tertiary,yes,None,None
3731206103,3731206098,58.232102,tertiary,yes,None,None
3731206098,3731514469,200.672282,tertiary,yes,None,None
3731514469,3731514467,18.349047,tertiary,yes,None,None
3731514467,3731206075,243.402708,tertiary,yes,None,None
3731206075,3722883603,168.699400,tertiary,yes,None,None
3722883603,3722883601,10.537631,tertiary,yes,None,None
3722883601,2303738260,86.625264,tertiary,yes,None,None
2303738260,289006498,9.381158,tertiary,yes,None,None
2303738284,288672196,158.781484,tertiary,None,None,None
288672196,288386744,157.615786,tertiary,None,None,None
2303738203,2303738207,97.478575,tertiary,None,None,None
2303738207,2303738209,3.266383,tertiary,None,None,None
2303738209,2303738210,2.822602,tertiary,None,None,None
2303738210,2303738208,3.494727,tertiary,None,None,None
2303738208,2303738206,3.699111,tertiary,None,None,None
2303738206,2303738197,135.883393,tertiary,None,None,None
3722879121,2467083495,175.117090,tertiary,yes,yes,None
2467083495,3722879117,28.386663,tertiary,yes,yes,None
3722879117,3722879116,11.927103,tertiary,yes,yes,None
3722879123,3722883126,29.316053,tertiary,yes,None,None
3722883126,3722883144,97.978160,tertiary,yes,None,None
3722883144,4318817752,6.100625,tertiary,yes,None,None
4318817752,3722883152,9.755636,tertiary,yes,None,None
3722883152,3722883158,10.235838,tertiary,yes,None,None
3722883158,4318817898,10.433977,tertiary,yes,None,None
4318817898,2303738202,4.758200,tertiary,yes,None,None
2303738202,2303738226,290.276094,tertiary,yes,None,None
2303738226,3731514448,106.967390,tertiary,yes,None,None
3731514448,3731514450,17.582750,tertiary,yes,None,None
3731514450,2303738254,106.424786,tertiary,yes,None,None
2303738254,2303738270,253.039473,tertiary,yes,None,None
2303738270,1666878475,15.751759,tertiary,yes,None,None
3722879118,2467083498,11.997838,tertiary,yes,yes,None
2467083498,2467083500,29.047521,tertiary,yes,yes,None
2467083500,3722879123,172.911996,tertiary,yes,yes,None
3722883154,3722883153,6.962172,tertiary,yes,None,None
3722883153,3722883152,7.252225,tertiary,yes,None,None
3722883152,4318817781,10.443149,tertiary,yes,None,None
4318817781,1651426207,95.717477,tertiary,yes,None,None
1651426207,288390999,95.076451,tertiary,yes,None,None
288390999,3731207271,233.955329,tertiary,yes,None,None
3731207271,3722883601,344.971223,tertiary,yes,None,None
3722883601,3722883602,9.450217,tertiary,yes,None,None
3722883602,288672676,66.244815,tertiary,yes,None,None
288672676,2303738284,38.537786,tertiary,yes,None,None
1651532691,3722883220,3.726848,steps,None,yes,None
1651532769,3722883219,85.319712,footway,None,yes,None
3722883220,1651532694,23.976105,steps,None,yes,None
3722883219,1651532691,1.299614,footway,None,None,None
1651532691,1651532542,133.650891,footway,None,None,None
1651532542,1651532539,6.203356,footway,None,None,None
1651532539,1651532540,5.480057,footway,None,None,None
1651532540,1651532583,27.695630,footway,None,None,None
1651532583,1651532678,111.068329,footway,None,None,None
1651532678,3731207232,94.405567,footway,None,None,None
3731207232,3731207230,2.932362,footway,None,None,None
3731207230,3731207231,5.473989,footway,None,None,None
3731207231,3731207256,175.039467,footway,None,None,None
3731207256,3731207258,3.784242,footway,None,None,None
3731207258,3731207259,7.709481,footway,None,None,None
3731207259,3731207260,3.927985,footway,None,None,None
3731207260,3731207261,79.148761,footway,None,None,None
3731207009,3731207008,2.566230,footway,None,None,None
3731207008,3731207007,7.786580,footway,None,None,None
3731207007,3731207010,3.995527,footway,None,None,None
3731207010,3731207018,121.720257,footway,None,None,None
3731207018,3731207019,1.578537,footway,None,None,None
3731207019,3731207022,4.038642,footway,None,None,None
3731207022,3731207024,1.719466,footway,None,None,None
3731207024,1651532488,343.122526,footway,None,None,None
1651532488,1651532492,5.672530,footway,None,None,None
1651532492,1651532490,4.403502,footway,None,None,None
1651532490,1651532483,73.049016,footway,None,None,None
1651532483,1651532466,25.854987,footway,None,None,None
1651532466,1651532454,23.564145,footway,None,None,None
1651532454,1651532452,3.748104,footway,None,None,None
1651532452,1651532448,3.042371,footway,None,None,None
1651532448,1651532445,3.324479,footway,None,None,None
1651532445,3731207009,341.280743,footway,None,None,None
3731207266,3731207291,228.303149,footway,None,yes,None
3731207291,3722883555,3.229222,footway,None,None,None
