node_id_org,node_id_dest,distance,highway
5676310267,5676310268,23.505732,"path"
5676310266,5676310265,22.555735,"path"
5676310265,5676310266,22.555735,"path"
5676310260,5676310255,60.726438,"path"
5676310255,5676310260,60.726438,"path"
5676310258,5676310255,13.655593,"path"
5676310255,5676310258,13.655593,"path"
5676310255,1096527499,4.561481,"path"
1096527499,5676310255,4.561481,"path"
1135820969,1135821035,132.14887,"unclassified"
1135821086,1135821031,134.121206,"unclassified"
832285656,1097906857,14.142398,"unclassified"
1097906857,832285656,14.142398,"unclassified"
5923910800,5346138311,62.158727,"service"
5346138311,5923910800,62.158727,"service"
1127748939,1312613803,28.083072,"service"
1312613803,1127748939,28.083072,"service"
5109258934,4666465545,23.227878,"footway"
4666465545,5109258934,23.227878,"footway"
5109258780,5109258931,13.576135,"path"
5109258931,5109258780,13.576135,"path"
4666465544,5109258931,10.335079,"path"
5109258931,4666465544,10.335079,"path"
5109258931,4666465504,13.878768,"path"
4666465504,5109258931,13.878768,"path"
4666465277,4666465506,15.585335,"footway"
4666465506,4666465277,15.585335,"footway"
4666465506,4666465270,18.631872,"footway"
4666465270,4666465506,18.631872,"footway"
4666465540,1097906616,12.031607,"steps"
1097906616,4666465540,12.031607,"steps"
4666465540,4666465277,8.536159,"steps"
4666465277,4666465540,8.536159,"steps"
4666465277,5109258922,51.601904999999995,"footway"
5109258922,4666465277,51.601904999999995,"footway"
5109258922,5109258921,7.582174,"footway"
5109258921,5109258922,7.582174,"footway"
5109258921,5109258820,8.715176,"footway"
5109258820,5109258921,8.715176,"footway"
4666465496,4666465554,11.448627,"footway"
4666465554,4666465496,11.448627,"footway"
4666465554,5109258787,27.223606000000004,"footway"
5109258787,4666465554,27.223606000000004,"footway"
4666465277,5109258787,97.910118,"footway"
4666465270,4666465496,56.103269,"footway"
4666465496,4666465270,56.103269,"footway"
5109258787,4666465531,31.451635,"footway"
4666465531,5109258787,31.451635,"footway"
4666465531,4666465530,9.89573,"footway"
4666465530,4666465531,9.89573,"footway"
4666465530,4666465529,9.719649,"footway"
4666465529,4666465530,9.719649,"footway"
4666465529,5109258793,7.923806,"footway"
5109258793,4666465529,7.923806,"footway"
5109258793,4666465528,8.276525,"footway"
4666465528,5109258793,8.276525,"footway"
4666465528,4666465673,37.657005,"footway"
4666465673,4666465528,37.657005,"footway"
4666465673,4666465514,109.753115,"footway"
4666465514,4666465673,109.753115,"footway"
4666465514,4666465513,5.57316,"footway"
4666465513,4666465514,5.57316,"footway"
4666465513,5109258816,7.033143,"footway"
5109258816,4666465513,7.033143,"footway"
5109258816,5109258814,40.650565,"footway"
5109258814,5109258816,40.650565,"footway"
5109258814,5109258820,5.825848,"footway"
5109258820,5109258814,5.825848,"footway"
5109258814,4666465513,44.629495,"path"
4666465528,5109258820,28.180628,"path"
5109258921,5109258923,7.279492,"path"
5109258923,5109258921,7.279492,"path"
5109258793,5109258923,31.16314,"path"
5109258922,4666465508,10.850613,"path"
4666465508,5109258922,10.850613,"path"
4666465529,4666465508,35.242526000000005,"path"
5109258779,4666465558,41.799256,"path"
4666465558,5109258779,41.799256,"path"
5109258746,4666465605,8.783008,"path"
4666465605,5109258746,8.783008,"path"
5109258745,4666465601,8.047769,"path"
4666465601,5109258745,8.047769,"path"
4666465618,4666465616,17.098066,"footway"
4666465616,4666465618,17.098066,"footway"
4666465616,4666465615,14.701325,"footway"
4666465615,4666465616,14.701325,"footway"
4666465615,4666465677,54.486976,"footway"
4666465677,4666465615,54.486976,"footway"
4666465677,4666465611,33.147707,"footway"
4666465611,4666465677,33.147707,"footway"
4666465611,4666465675,26.480227,"footway"
4666465675,4666465611,26.480227,"footway"
4666465675,4666465605,68.299878,"footway"
4666465605,4666465675,68.299878,"footway"
4666465605,4666465603,39.288085,"footway"
4666465603,4666465605,39.288085,"footway"
4666465603,4666465601,26.991010000000003,"footway"
4666465601,4666465603,26.991010000000003,"footway"
4666465601,5109258744,21.638728,"footway"
5109258744,4666465601,21.638728,"footway"
5109258740,5109258739,24.214361,"steps"
5109258739,5109258740,24.214361,"steps"
5109258733,5109258734,6.109816,"path"
5109258734,5109258733,6.109816,"path"
